지역구,Sexual_Crime_Count,Sexual_Assault_Risk_Index,Elderly_Women_Alone,Pubs,CCTV,Safety_Bell,Police_Station,Total_Crime_5,Arrest_Rate_5,Calls_112,CCTV_Rank,Safety_Bell_Rank,Police_Station_Rank,Y_여성안전시설지수_SORA,Y_방어력_지수,X_성범죄_위험,X_사회적_취약,X_취약성_지수,개선_시급도_Raw,개선_시급도_지수_100점
강남구,0.9999999999999998,1.0,0.6208349146110057,0.7941176470588236,122,89,14,6763,73.81,120466.0,24.0,25.0,23.0,99.95480655386515,1.0,0.9999999999999999,0.7074762808349147,1.7074762808349147,0.7074762808349147,100.00000000000003
강서구,0.40720524017467247,0.34273709483793513,1.0,0.6029411764705883,43,34,11,4296,82.5,121481.0,9.0,10.0,21.0,54.27567705580239,0.49609159226717175,0.37497116750630377,0.8014705882352942,1.1764417557415978,0.680350163474426,97.48867337534102
마포구,0.6135371179039302,0.33673469387755095,0.3900948766603416,0.19117647058823528,29,26,8,3834,75.33,118999.0,3.0,7.0,5.0,20.652626170219165,0.12517957575003022,0.47513590589074056,0.29063567362428844,0.765771579515029,0.6405920037649988,93.80787661040617
관악구,0.49454148471615716,0.5555222088835533,0.5907400379506642,0.9166666666666667,158,49,9,4769,73.31,120381.0,25.0,21.0,12.0,81.6796429359888,0.7983978963493266,0.5250318467998553,0.7537033523086655,1.2787351991085207,0.4803373027591942,78.97155145504692
금천구,0.029475982532751077,0.157563025210084,0.4623908918406072,0.20098039215686275,27,22,5,2240,78.26,64927.0,2.0,4.0,1.0,9.833789043181355,0.005831789351481764,0.09351950387141754,0.33168564199873496,0.4252051458701525,0.41937335651867075,73.3275302594036
은평구,0.13755458515283842,0.06992797118847538,0.6366982922201139,0.35784313725490197,39,14,9,3493,76.67,45544.0,7.0,2.0,12.0,28.551758112863514,0.21231869252891378,0.1037412781706569,0.49727071473750795,0.6010119929081649,0.3886933003792511,70.4871812037299
구로구,0.15829694323144106,0.11044417767106843,0.5280075901328274,0.14215686274509803,39,24,8,3737,70.43,87039.0,7.0,6.0,5.0,25.147786707543492,0.17476784973328574,0.13437056045125473,0.3350822264389627,0.4694527868902174,0.29468493715693167,61.78391923802366
양천구,0.06441048034934499,0.012004801920768304,0.4841745730550285,0.0,21,12,8,3019,70.72,73549.0,1.0,1.0,5.0,9.305139278851566,0.0,0.03820764113505665,0.24208728652751424,0.2802949276625709,0.2802949276625709,60.45169710346481
영등포구,0.34934497816593885,0.2190876350540216,0.4127134724857685,0.6225490196078431,58,41,10,4418,76.66,125790.0,13.0,14.0,17.0,60.62567208308458,0.5661414360025883,0.2842163066099802,0.5176312460468058,0.801847552656786,0.23570611665419772,56.323680301092665
강동구,0.12117903930131002,0.15996398559423766,0.5602656546489564,0.46568627450980393,48,46,9,3398,73.43,91280.0,11.0,16.0,12.0,54.04670316412347,0.49356567133925205,0.14057151244777383,0.5129759645793801,0.6535474770271539,0.15998180568790182,49.313149610821
도봉구,0.0,0.0627250900360144,0.48075901328273246,0.08823529411764705,35,26,8,1921,73.19,59285.0,5.0,7.0,5.0,23.600199256012516,0.15769566956922743,0.0313625450180072,0.28449715370018974,0.31585969871819697,0.15816402914896954,49.14486048343743
송파구,0.408296943231441,0.37424969987995194,0.5612523719165086,0.4166666666666667,65,47,11,5223,67.39,133883.0,17.0,18.0,21.0,77.2658544730748,0.7497072767850712,0.3912733215556965,0.48895951929158765,0.8802328408472841,0.13052556406221294,46.58610088232399
노원구,0.19213973799126638,0.10714285714285712,0.7450474383301708,0.08333333333333333,60,46,8,3567,73.09,92050.0,16.0,16.0,5.0,52.41172193623732,0.47552940847106157,0.14964129756706174,0.4141903858317521,0.5638316833988138,0.08830227492775228,42.67708328224176
서초구,0.4868995633187773,0.24969987995198076,0.2995066413662239,0.16176470588235292,74,47,6,4522,67.43,87073.0,21.0,18.0,2.0,58.72180565822994,0.5451389714366821,0.36829972163537905,0.2306356736242884,0.5989353952596674,0.05379642382298533,39.482543443225175
성동구,0.07423580786026202,0.0,0.31449715370018977,0.08333333333333333,35,19,9,2023,69.75,66802.0,5.0,3.0,12.0,27.004170661332537,0.19524651236485546,0.03711790393013101,0.19891524351676154,0.23603314744689255,0.04078663508203709,38.27810167177132
중구,0.1539301310043668,0.042016806722689065,0.18451612903225809,1.0,59,37,15,3348,73.63,0.0,14.0,12.0,24.0,68.30340129982602,0.6508381530180924,0.09797346886352794,0.5922580645161291,0.690231533379657,0.03939338036156459,38.14911462847441
광진구,0.25,0.22448979591836735,0.24766603415559774,0.03431372549019608,33,30,10,3424,68.14,87499.0,4.0,9.0,17.0,40.36166502570263,0.34259944554050664,0.2372448979591837,0.1409898798228969,0.3782347777820806,0.03563533224157395,37.8011958247967
중랑구,0.11572052401746724,0.23019207683073226,0.57146110056926,0.06862745098039215,59,47,8,3324,74.43,87617.0,14.0,18.0,5.0,52.26412011896872,0.473901141962142,0.17295630042409976,0.3200442757748261,0.49300057619892584,0.01909943423678384,36.27030806927285
종로구,0.19541484716157204,0.03361344537815125,0.20390891840607211,0.9019607843137255,57,43,19,2981,116.91,50301.0,12.0,15.0,25.0,70.84205853715831,0.6788432997951952,0.11451414626986164,0.5529348513598988,0.6674489976297605,-0.011394302165434689,33.4472084308495
서대문구,0.09061135371179041,0.04501800720288113,0.3902846299810247,0.11764705882352941,70,22,8,2385,68.81,66234.0,20.0,4.0,5.0,41.50704049667552,0.3552346322477898,0.06781468045733577,0.25396584440227704,0.32178052485961284,-0.033454107388176946,31.40491924311053
용산구,0.20524017467248906,0.0666266506602641,0.3165464895635674,0.08823529411764705,66,35,7,3021,75.07,81320.0,18.0,11.0,3.0,45.786820010041794,0.40244693475279786,0.1359334126663766,0.2023908918406072,0.3383243045069838,-0.06412263024581405,28.56563793470142
동작구,0.18777292576419213,0.07172869147659061,0.4397722960151803,0.18627450980392157,69,58,7,2642,66.73,73385.0,19.0,22.0,3.0,62.66044852982459,0.5885880318689236,0.12975080862039137,0.31302340290955094,0.44277421152994234,-0.14581382033898127,21.002695625092727
강북구,0.08515283842794757,0.18937575030012002,0.538595825426945,0.3235294117647059,92,77,9,2497,85.78,78078.0,23.0,24.0,12.0,82.93202675298258,0.812213543495546,0.1372642943640338,0.4310626185958254,0.5683269129598592,-0.24388663053568682,11.923148555047948
동대문구,0.11572052401746724,0.10684273709483791,0.0,0.23529411764705882,43,39,10,2957,77.82,87216.0,9.0,13.0,17.0,53.33054027723551,0.485665334709055,0.11128163055615257,0.11764705882352941,0.22892868937968197,-0.256736645329373,10.73349860073304
성북구,0.14082969432314407,0.06782713085234093,0.7244022770398483,0.024509803921568627,86,71,10,2411,81.21,42821.0,22.0,23.0,17.0,86.48962167751604,0.8514590810852252,0.1043284125877425,0.37445604048070846,0.47878445306845097,-0.3726746280167742,0.0
