연번,시도청,경찰서,관서명,구분,전화번호,주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,법정동코드_10자리,시도코드,시군구코드,법정동_코드,시,구,동,지역구별 지구대/파출소 수
1,서울청,서울중부,을지,지구대,02-2279-1908,서울특별시 중구 퇴계로49길 13,서울특별시 중구 퇴계로49길 13,199942.0,451197.0,정좌표,1.1140133001002001e+18,새주소,서울특별시 중구 퇴계로49길 13,서울특별시 중구 충무로5가 20-43,4559.0,1114059000.0,광희동,1114013300.0,충무로5가,1114013300,11,140,13300,서울특별시,중구,충무로5가,14
2,서울청,서울중부,광희,지구대,02-2233-1444,서울특별시 중구  퇴계로 375-1,서울특별시 중구  퇴계로 375-1,201114.0,451442.0,정좌표,1.1140162001025e+18,새주소,서울특별시 중구 퇴계로 375-1,서울특별시 중구 신당동 250-10,4566.0,1114061500.0,신당동,1114016200.0,신당동,1114016200,11,140,16200,서울특별시,중구,신당동,14
3,서울청,서울중부,약수,지구대,02-2234-8112,서울특별시 중구  동호로 5길 15,서울특별시 중구  동호로 5길 15,201024.0,449986.0,정좌표,1.11401620010844e+18,새주소,서울특별시 중구 동호로5길 15,서울특별시 중구 신당동 844-3,4596.0,1114063500.0,약수동,1114016200.0,신당동,1114016200,11,140,16200,서울특별시,중구,신당동,14
5,서울청,서울중부,장충,파출소,02-2274-9003,서울특별시 중구  동호로 261,서울특별시 중구  동호로 261,200355.0,450721.0,정좌표,1.1140144001019601e+18,새주소,서울특별시 중구 동호로 261,서울특별시 중구 장충동2가 196-1,4620.0,1114058000.0,장충동,1114014400.0,장충동2가,1114014400,11,140,14400,서울특별시,중구,장충동2가,14
6,서울청,서울중부,충무,파출소,02-2278-7710,서울특별시 중구  퇴계로 178,서울특별시 중구  퇴계로 178,199186.0,450955.0,정좌표,1.1140137001002001e+18,새주소,서울특별시 중구 퇴계로 178,서울특별시 중구 필동1가 20-5,4627.0,1114057000.0,필동,1114013700.0,필동1가,1114013700,11,140,13700,서울특별시,중구,필동1가,14
7,서울청,서울중부,을지로3가,파출소,02-2266-2404,서울특별시 중구 충무로56-1,서울특별시 중구 충무로56-1,199298.0,451544.0,정좌표,1.1140155001029101e+18,새주소,서울특별시 중구 충무로 56-1,서울특별시 중구 을지로3가 291-50,4549.0,1114060500.0,을지로동,1114015500.0,을지로3가,1114015500,11,140,15500,서울특별시,중구,을지로3가,14
8,서울청,서울종로,종로2가,지구대,02-3701-4301,서울특별시 종로구  종로17길 4 ,서울특별시 종로구  종로17길 4 ,198952.0,452024.0,정좌표,1.11101380010039e+18,새주소,서울특별시 종로구 종로17길 4,서울특별시 종로구 종로2가 39-3,3140.0,1111061500.0,종로1.2.3.4가동,1111013800.0,종로2가,1111013800,11,110,13800,서울특별시,종로구,종로2가,20
9,서울청,서울종로,관수,파출소,02-3701-4302,서울특별시 종로구 삼일대로15길 19 1층(임시파출소),서울특별시 종로구 삼일대로15길 19 1층(임시파출소),198725.0,451824.0,정좌표,1.1110135001001101e+18,새주소,서울특별시 종로구 삼일대로15길 19,서울특별시 종로구 관철동 11-19,3190.0,1111061500.0,종로1.2.3.4가동,1111013500.0,관철동,1111013500,11,110,13500,서울특별시,종로구,관철동,20
10,서울청,서울종로,세검정,파출소,02-3701-4507,서울특별시 종로구  세검정로 226 ,서울특별시 종로구  세검정로 226 ,196261.0,455303.0,정좌표,1.11101850010095e+18,새주소,서울특별시 종로구 세검정로 226,서울특별시 종로구 홍지동 95-1,3017.0,1111055000.0,부암동,1111018500.0,홍지동,1111018500,11,110,18500,서울특별시,종로구,홍지동,20
11,서울청,서울종로,평창,파출소,02-3701-4308,서울특별시 종로구  평창문화로 46,서울특별시 종로구  평창문화로 46,196984.0,455880.0,정좌표,1.11101830010273e+18,새주소,서울특별시 종로구 평창문화로 46,서울특별시 종로구 평창동 273-3,3011.0,1111056000.0,평창동,1111018300.0,평창동,1111018300,11,110,18300,서울특별시,종로구,평창동,20
12,서울청,서울종로,삼청,파출소,02-3701-4303,서울특별시 종로구 삼청로 75-2 (팔판동),서울특별시 종로구 삼청로 75-2 (팔판동),198294.0,453337.0,정좌표,1.11101390010056e+18,새주소,서울특별시 종로구 삼청로 75-2,서울특별시 종로구 팔판동 56,3054.0,1111054000.0,삼청동,1111013900.0,팔판동,1111013900,11,110,13900,서울특별시,종로구,팔판동,20
13,서울청,서울종로,통의,파출소,02-3701-4304,서울특별시 종로구  효자로 9,서울특별시 종로구  효자로 9,197634.0,452720.0,정좌표,1.1110106001003501e+18,새주소,서울특별시 종로구 효자로 9,서울특별시 종로구 통의동 35-66,3044.0,1111053000.0,사직동,1111010600.0,통의동,1111010600,11,110,10600,서울특별시,종로구,통의동,20
14,서울청,서울종로,청운,파출소,02-3701-4305,서울특별시 종로구  자하문로 92-1,서울특별시 종로구  자하문로 92-1,197331.0,453547.0,정좌표,1.11101030010012e+18,새주소,서울특별시 종로구 자하문로 92-1,서울특별시 종로구 궁정동 12-1,3047.0,1111051500.0,청운효자동,1111010300.0,궁정동,1111010300,11,110,10300,서울특별시,종로구,궁정동,20
15,서울청,서울종로,옥인,파출소,02-3701-4506,서울특별시 종로구  자하문로17길 24,서울특별시 종로구  자하문로17길 24,197230.0,453242.0,정좌표,1.11101110010045e+18,새주소,서울특별시 종로구 자하문로17길 24,서울특별시 종로구 옥인동 45-16,3035.0,1111051500.0,청운효자동,1111011100.0,옥인동,1111011100,11,110,11100,서울특별시,종로구,옥인동,20
16,서울청,서울종로,교남,파출소,02-3701-4310,서울특별시 종로구  송월길 152,서울특별시 종로구  송월길 152,196591.0,452170.0,정좌표,1.11101810010211e+18,새주소,서울특별시 종로구 송월길 152,서울특별시 종로구 행촌동 211-3,3166.0,1111058000.0,교남동,1111018100.0,행촌동,1111018100,11,110,18100,서울특별시,종로구,행촌동,20
17,서울청,서울종로,세종로,파출소,02-3701-4312,서울특별시 중구  세종대로 141,서울특별시 중구  세종대로 141,197847.0,451851.0,정좌표,1.1140103001006801e+18,새주소,서울특별시 중구 세종대로 141,서울특별시 중구 태평로1가 68-1,4519.0,1114055000.0,명동,1114010300.0,태평로1가,1114010300,11,140,10300,서울특별시,중구,태평로1가,14
18,서울청,서울종로,신문로,파출소,02-3701-4311,서울특별시 종로구  경희궁길 6-3,서울특별시 종로구  경희궁길 6-3,197477.0,452054.0,정좌표,1.11101200010058e+18,새주소,서울특별시 종로구 경희궁길 6-3,서울특별시 종로구 신문로1가 58-16,3175.0,1111053000.0,사직동,1111012000.0,신문로1가,1111012000,11,110,12000,서울특별시,종로구,신문로1가,20
19,서울청,서울종로,사직,파출소,02-3701-4309,서울특별시 종로구  사직로9가길 6 1층,서울특별시 종로구  사직로9가길 6 1층,197195.0,452697.0,정좌표,1.11101130010139e+18,새주소,서울특별시 종로구 사직로9가길 6,서울특별시 종로구 필운동 139-1,3027.0,1111053000.0,사직동,1111011300.0,필운동,1111011300,11,110,11300,서울특별시,종로구,필운동,20
20,서울청,서울종로,청진,파출소,02-3701-4313,서울특별시 종로구 우정국로 45-3 1층(임시파출소),서울특별시 종로구 우정국로 45-3 1층(임시파출소),198399.0,452298.0,정좌표,1.1110129001011e+18,새주소,서울특별시 종로구 우정국로 45-3,서울특별시 종로구 견지동 110-39,3150.0,1111061500.0,종로1.2.3.4가동,1111012900.0,견지동,1111012900,11,110,12900,서울특별시,종로구,견지동,20
21,서울청,서울남대문,태평로,파출소,02-2096-8471,서울특별시 중구  다동길 11,서울특별시 중구  다동길 11,198163.0,451746.0,정좌표,1.11401020010046e+18,새주소,서울특별시 중구 다동길 11,서울특별시 중구 다동 46,4521.0,1114055000.0,명동,1114010200.0,다동,1114010200,11,140,10200,서울특별시,중구,다동,14
22,서울청,서울남대문,서울역,파출소,02-2096-8472,서울특별시 중구  통일로 15,서울특별시 중구  통일로 15,197427.0,450513.0,정좌표,1.11401200010122e+18,새주소,서울특별시 중구 통일로 15,서울특별시 중구 봉래동2가 122-17,4509.0,1114054000.0,회현동,1114012000.0,봉래동2가,1114012000,11,140,12000,서울특별시,중구,봉래동2가,14
23,서울청,서울남대문,명동,파출소,02-2096-8473,서울특별시 중구  명동길 30 명동파출소,서울특별시 중구  명동길 30 명동파출소,198513.0,451254.0,정좌표,1.1140127001005e+18,새주소,서울특별시 중구 명동길 30,서울특별시 중구 명동2가 50-13,4536.0,1114055000.0,명동,1114012700.0,명동2가,1114012700,11,140,12700,서울특별시,중구,명동2가,14
24,서울청,서울남대문,남대문,파출소,02-2096-8474,서울특별시 중구  남대문시장4길 28-16,서울특별시 중구  남대문시장4길 28-16,197844.0,450748.0,정좌표,1.11401120010051e+18,새주소,서울특별시 중구 남대문시장4길 28-16,서울특별시 중구 남창동 51-1,4528.0,1114054000.0,회현동,1114011200.0,남창동,1114011200,11,140,11200,서울특별시,중구,남창동,14
25,서울청,서울남대문,중림,파출소,02-2096-8475,서울특별시 중구  중림로 36,서울특별시 중구  중림로 36,197024.0,450624.0,정좌표,1.11401710010203e+18,새주소,서울특별시 중구 중림로 36,서울특별시 중구 중림동 203,4502.0,1114068000.0,중림동,1114017100.0,중림동,1114017100,11,140,17100,서울특별시,중구,중림동,14
26,서울청,서울남대문,회현,파출소,02-2096-8476,서울특별시 중구  퇴계로6길 3-15,서울특별시 중구  퇴계로6길 3-15,198049.0,450685.0,정좌표,1.11401210010194e+18,새주소,서울특별시 중구 퇴계로6길 3-15,서울특별시 중구 회현동1가 194-15,4634.0,1114054000.0,회현동,1114012100.0,회현동1가,1114012100,11,140,12100,서울특별시,중구,회현동1가,14
27,서울청,서울남대문,서소문,파출소,02-2096-8477,서울특별시 중구  서소문로 131-1 서소문파출소,서울특별시 중구  서소문로 131-1 서소문파출소,197763.0,451283.0,정좌표,1.11401660010024e+18,새주소,서울특별시 중구 서소문로 131-1,서울특별시 중구 서소문동 24,4515.0,1114052000.0,소공동,1114016600.0,서소문동,1114016600,11,140,16600,서울특별시,중구,서소문동,14
28,서울청,서울서대문,충정로,지구대,02-335-8301,서울특별시 서대문구  독립문로 25-1,서울특별시 서대문구  독립문로 25-1,196493.0,451955.0,정좌표,1.1410107001010001e+18,새주소,서울특별시 서대문구 독립문로 25-1,서울특별시 서대문구 옥천동 100-1,3734.0,1141052000.0,천연동,1141010700.0,옥천동,1141010700,11,410,10700,서울특별시,서대문구,옥천동,8
29,서울청,서울서대문,신촌,지구대,02-335-8302,서울특별시 서대문구  신촌역로 22,서울특별시 서대문구  신촌역로 22,194895.0,450700.0,정좌표,1.14101120010027e+18,새주소,서울특별시 서대문구 신촌역로 22,서울특별시 서대문구 대현동 27-14,3766.0,1141058500.0,신촌동,1141011200.0,대현동,1141011200,11,410,11200,서울특별시,서대문구,대현동,8
30,서울청,서울서대문,홍은,파출소,02-335-8303,서울특별시 서대문구 세검정로1길 112,서울특별시 서대문구 세검정로1길 112,195198.0,454771.0,정좌표,1.1410118001004805e+18,새주소,서울특별시 서대문구 세검정로1길 112,서울특별시 서대문구 홍은동 48-461,3611.0,1141066000.0,홍은1동,1141011800.0,홍은동,1141011800,11,410,11800,서울특별시,서대문구,홍은동,8
31,서울청,서울서대문,연희,파출소,02-335-8304,서울특별시 서대문구  연희로25길 73,서울특별시 서대문구  연희로25길 73,193998.0,452000.0,정좌표,1.14101170010086e+18,새주소,서울특별시 서대문구 연희로25길 73,서울특별시 서대문구 연희동 86-12,3699.0,1141061500.0,연희동,1141011700.0,연희동,1141011700,11,410,11700,서울특별시,서대문구,연희동,8
32,서울청,서울서대문,남가좌,파출소,02-335-8305,서울특별시 서대문구  가재울로4길 51,서울특별시 서대문구  가재울로4길 51,193221.0,452642.0,정좌표,1.14101200010336e+18,새주소,서울특별시 서대문구 가재울로4길 51,서울특별시 서대문구 남가좌동 336-21,3692.0,1141070000.0,남가좌2동,1141012000.0,남가좌동,1141012000,11,410,12000,서울특별시,서대문구,남가좌동,8
33,서울청,서울서대문,북가좌,파출소,02-335-8306,서울특별시 서대문구  응암로1길 13,서울특별시 서대문구  응암로1길 13,192032.0,453225.0,정좌표,1.1410119001031e+18,새주소,서울특별시 서대문구 응암로1길 13,서울특별시 서대문구 북가좌동 310-2,3679.0,1141072000.0,북가좌2동,1141011900.0,북가좌동,1141011900,11,410,11900,서울특별시,서대문구,북가좌동,8
34,서울청,서울서대문,홍제,파출소,02-335-8307,서울특별시 서대문구  통일로 441-1,서울특별시 서대문구  통일로 441-1,195035.0,453986.0,정좌표,1.14101110010173e+18,새주소,서울특별시 서대문구 통일로 441-1,서울특별시 서대문구 홍제동 173-1,3639.0,1141062000.0,홍제1동,1141011100.0,홍제동,1141011100,11,410,11100,서울특별시,서대문구,홍제동,8
35,서울청,서울서대문,홍은2,파출소,02-335-8308,서울특별시 서대문구  연희로 298,서울특별시 서대문구  연희로 298,194296.0,453479.0,정좌표,1.14101180010424e+18,새주소,서울특별시 서대문구 연희로 298,서울특별시 서대문구 홍은동 424,3653.0,1141068500.0,홍은2동,1141011800.0,홍은동,1141011800,11,410,11800,서울특별시,서대문구,홍은동,8
36,서울청,서울혜화,혜화,파출소,02-762-0811,서울특별시 종로구  창경궁로 279 ,서울특별시 종로구  창경궁로 279 ,200051.0,453749.0,정좌표,1.11101690010092e+18,새주소,서울특별시 종로구 창경궁로 279,서울특별시 종로구 혜화동 92-1,3076.0,1111065000.0,혜화동,1111016900.0,혜화동,1111016900,11,110,16900,서울특별시,종로구,혜화동,20
37,서울청,서울혜화,대학로,파출소,02-763-1230,서울특별시 종로구  이화장2길 33,서울특별시 종로구  이화장2길 33,200464.0,452921.0,정좌표,1.11101680010201e+18,새주소,서울특별시 종로구 이화장2길 33,서울특별시 종로구 동숭동 201-10,3088.0,1111064000.0,이화동,1111016800.0,동숭동,1111016800,11,110,16800,서울특별시,종로구,동숭동,20
38,서울청,서울혜화,명륜,파출소,02-762-1120,서울특별시 종로구  성균관로 78,서울특별시 종로구  성균관로 78,199718.0,454107.0,정좌표,1.1110170001002701e+18,새주소,서울특별시 종로구 성균관로 78,서울특별시 종로구 명륜1가 27-55,3069.0,1111065000.0,혜화동,1111017000.0,명륜1가,1111017000,11,110,17000,서울특별시,종로구,명륜1가,20
39,서울청,서울혜화,창신,파출소,02-763-4200,서울특별시 종로구  지봉로13길 20-12,서울특별시 종로구  지봉로13길 20-12,201126.0,452910.0,정좌표,1.1110174001002309e+18,새주소,서울특별시 종로구 지봉로13길 20-12,서울특별시 종로구 창신동 23-875,3094.0,1111069000.0,창신3동,1111017400.0,창신동,1111017400,11,110,17400,서울특별시,종로구,창신동,20
40,서울청,서울혜화,동묘,파출소,02-2252-0547,서울특별시 종로구  종로58가길 19 동묘파출소,서울특별시 종로구  종로58가길 19 동묘파출소,201444.0,452268.0,정좌표,1.11101750010242e+18,새주소,서울특별시 종로구 종로58가길 19,서울특별시 종로구 숭인동 242-7,3114.0,1111071000.0,숭인2동,1111017500.0,숭인동,1111017500,11,110,17500,서울특별시,종로구,숭인동,20
41,서울청,서울혜화,덕산,파출소,02-763-6843,서울시 종로구 낙산성곽동길 20-1,서울시 종로구 낙산성곽동길 20-1,200755.0,452457.0,정좌표,1.1110174001064001e+18,새주소,서울특별시 종로구 낙산성곽동길 20-1,서울특별시 종로구 창신동 640-137,3097.0,1111068000.0,창신2동,1111017400.0,창신동,1111017400,11,110,17400,서울특별시,종로구,창신동,20
42,서울청,서울혜화,종로5가,파출소,02-2267-2287,서울특별시 종로구  동호로 407,서울특별시 종로구  동호로 407,200074.0,452050.0,정좌표,1.11101630010138e+18,새주소,서울특별시 종로구 동호로 407,서울특별시 종로구 종로5가 138-1,3195.0,1111063000.0,종로5.6가동,1111016300.0,종로5가,1111016300,11,110,16300,서울특별시,종로구,종로5가,20
43,서울청,서울혜화,효제,파출소,02-762-8485,서울특별시 종로구  종로41나길 24-6,서울특별시 종로구  종로41나길 24-6,200360.0,452294.0,정좌표,1.11101640010238e+18,새주소,서울특별시 종로구 종로41나길 24-6,서울특별시 종로구 종로6가 238-16,3125.0,1111063000.0,종로5.6가동,1111016400.0,종로6가,1111016400,11,110,16400,서울특별시,종로구,종로6가,20
44,서울청,서울용산,원효,지구대,02-2198-0191,서울특별시 용산구  백범로 329,서울특별시 용산구  백범로 329,196918.0,448486.0,정좌표,1.11701120010025e+18,새주소,서울특별시 용산구 백범로 329,서울특별시 용산구 원효로1가 25,4316.0,1117056000.0,원효로1동,1117011200.0,원효로1가,1117011200,11,170,11200,서울특별시,용산구,원효로1가,4
46,서울청,서울용산,이태원,파출소,02-2198-0125,서울특별시 용산구  이태원로 184,서울특별시 용산구  이태원로 184,199432.0,447998.0,정좌표,1.11701300010127e+18,새주소,서울특별시 용산구 이태원로 184,서울특별시 용산구 이태원동 127-10,4406.0,1117065000.0,이태원1동,1117013000.0,이태원동,1117013000,11,170,13000,서울특별시,용산구,이태원동,4
49,서울청,서울용산,삼각지,파출소,02-2198-0152,서울특별시 용산구  한강대로198-2,서울특별시 용산구  한강대로198-2,197695.0,448207.0,정좌표,1.11701240010016e+18,새주소,서울특별시 용산구 한강대로 198-2,서울특별시 용산구 한강로1가 16,4353.0,1117062500.0,한강로동,1117012400.0,한강로1가,1117012400,11,170,12400,서울특별시,용산구,한강로1가,4
50,서울청,서울용산,한강로,지구대,02-2198-0158,서울특별시 용산구  서빙고로67,서울특별시 용산구  서빙고로67,197334.0,446912.0,정좌표,1.11701270010024e+18,새주소,서울특별시 용산구 서빙고로 67,서울특별시 용산구 용산동5가 24,4385.0,1117062500.0,한강로동,1117012700.0,용산동5가,1117012700,11,170,12700,서울특별시,용산구,용산동5가,4
51,서울청,서울성북,돈암,지구대,02-920-1810,서울특별시 성북구  아리랑로5길 54,서울특별시 성북구  아리랑로5길 54,201025.0,455000.0,정좌표,1.12901030010579e+18,새주소,서울특별시 성북구 아리랑로5길 54,서울특별시 성북구 돈암동 579-8,2826.0,1129059000.0,돈암2동,1129010300.0,돈암동,1129010300,11,290,10300,서울특별시,성북구,돈암동,10
52,서울청,서울성북,안암,지구대,02-920-1820,서울특별시 성북구  지봉로21길 45,서울특별시 성북구  지봉로21길 45,201396.0,453824.0,정좌표,1.12901320010001e+18,새주소,서울특별시 성북구 지봉로21길 45,서울특별시 성북구 보문동3가 1-1,2870.0,1129061000.0,보문동,1129013200.0,보문동3가,1129013200,11,290,13200,서울특별시,성북구,보문동3가,10
53,서울청,서울성북,길음,지구대,02-920-1830,서울특별시 성북구  삼양로13길 51 길음지구대,서울특별시 성북구  삼양로13길 51 길음지구대,201635.0,456471.0,정좌표,1.12901340011281e+18,새주소,서울특별시 성북구 삼양로13길 51,서울특별시 성북구 길음동 1281-5,2724.0,1129066000.0,길음1동,1129013400.0,길음동,1129013400,11,290,13400,서울특별시,성북구,길음동,10
54,서울청,서울성북,정릉,파출소,02-920-1840,서울특별시 성북구  솔샘로 111,서울특별시 성북구  솔샘로 111,200691.0,457081.0,정좌표,1.12901330010239e+18,새주소,서울특별시 성북구 솔샘로 111,서울특별시 성북구 정릉동 239-3,2702.0,1129065000.0,정릉4동,1129013300.0,정릉동,1129013300,11,290,13300,서울특별시,성북구,정릉동,10
55,서울청,서울성북,정릉2,파출소,02-920-1850,서울특별시 성북구  정릉로26길 6 정릉2파출소,서울특별시 성북구  정릉로26길 6 정릉2파출소,200877.0,455804.0,정좌표,1.1290133001096602e+18,새주소,서울특별시 성북구 정릉로26길 6,서울특별시 성북구 정릉동 966-174,2814.0,1129063000.0,정릉2동,1129013300.0,정릉동,1129013300,11,290,13300,서울특별시,성북구,정릉동,10
56,서울청,서울성북,성북,파출소,02-920-1860,서울특별시 성북구  성북로 94  성북파출소,서울특별시 성북구  성북로 94  성북파출소,199795.0,454551.0,정좌표,1.12901010010066e+18,새주소,서울특별시 성북구 성북로 94,서울특별시 성북구 성북동 66-23,2837.0,1129052500.0,성북동,1129010100.0,성북동,1129010100,11,290,10100,서울특별시,성북구,성북동,10
57,서울청,서울동대문,답십리,지구대,02-961-4301,서울시 동대문구 사가정로 2길 9,서울시 동대문구 사가정로 2길 9,204441.0,452112.0,정좌표,1.12301050011004e+18,새주소,서울특별시 동대문구 사가정로2길 9,서울특별시 동대문구 답십리동 1004-1,2601.0,1123060000.0,답십리1동,1123010500.0,답십리동,1123010500,11,230,10500,서울특별시,동대문구,답십리동,10
58,서울청,서울동대문,용신,지구대,02-961-4302,서울특별시 동대문구  청계천로549,서울특별시 동대문구  청계천로549,203217.0,452284.0,정좌표,1.12301020010696e+18,새주소,서울특별시 동대문구 청계천로 549,서울특별시 동대문구 용두동 696-10,2590.0,1123053600.0,용신동,1123010200.0,용두동,1123010200,11,230,10200,서울특별시,동대문구,용두동,10
60,서울청,서울동대문,제기,파출소,02-961-4304,서울특별시 동대문구 약령시로 17길 59-11,서울특별시 동대문구 약령시로 17길 59-11,203642.0,453696.0,정좌표,1.12301030010287e+18,새주소,서울특별시 동대문구 약령시로17길 59-11,서울특별시 동대문구 제기동 287-33,2480.0,1123054500.0,제기동,1123010300.0,제기동,1123010300,11,230,10300,서울특별시,동대문구,제기동,10
61,서울청,서울동대문,전농1,파출소,02-961-4305,서울특별시 동대문구 서울시립대로 56,서울특별시 동대문구 서울시립대로 56,204164.0,452649.0,정좌표,1.1230104001065e+18,새주소,서울특별시 동대문구 서울시립대로 56,서울특별시 동대문구 전농동 650-1,2551.0,1123056000.0,전농1동,1123010400.0,전농동,1123010400,11,230,10400,서울특별시,동대문구,전농동,10
62,서울청,서울동대문,전농2,파출소,02-961-4306,서울특별시 동대문구 전농로38다길 21,서울특별시 동대문구 전농로38다길 21,204722.0,453784.0,정좌표,1.1230104001010305e+18,새주소,서울특별시 동대문구 전농로38다길 21,서울특별시 동대문구 전농동 103-570,2492.0,1123056000.0,전농1동,1123010400.0,전농동,1123010400,11,230,10400,서울특별시,동대문구,전농동,10
